Wall time,Step,Value
1585715289.2461867,34878,0.0017253708792850375
1585715529.464202,35115,0.004932178650051355
1585715540.2235415,35177,0.002270714845508337
1585715554.045303,35254,0.002876138314604759
1585715666.5690837,35333,0.0024195006117224693
1585715670.1790564,35354,0.0022559589706361294
1585715671.472219,35362,0.002049107337370515
1585715673.7802157,35377,0.0018226670799776912
1585715792.6745062,35481,0.0015174404252320528
1585715793.0151875,35483,0.0016165352426469326
1585715806.876742,35573,0.007307534571737051
1585716043.3842793,35771,0.003957699052989483
1585716044.5295842,35778,0.002913072472438216
1585716055.3150837,35844,0.0020178055856376886
1585716056.1185222,35849,0.0017684511840343475
1585716173.9003973,35953,0.0032584592700004578
1585716176.55348,35970,0.004096807446330786
1585716288.5132754,36037,0.0027942927554249763
1585716424.4825692,36246,0.002210793551057577
1585716427.3938987,36262,0.001901242882013321
1585716429.4182649,36275,0.0019242599373683333
1585716435.9572225,36310,0.0022296623792499304
1585716440.985341,36336,0.0016092354198917747
1585716681.122087,36569,0.00256572337821126
1585716691.2350807,36629,0.002392781665548682
1585716796.8716974,36659,0.0023175356909632683
1585716800.7892177,36678,0.002244324190542102
1585716816.580237,36767,0.001729995827190578
1585716925.9716692,36819,0.0027734115719795227
1585716931.7540414,36850,0.0018449065973982215
1585716941.8903718,36907,0.0019057744648307562
1585717066.6347227,37053,0.001986345276236534
1585717187.4032571,37169,0.002181168645620346
1585717193.1512058,37202,0.0014539721887558699
1585717438.075605,37455,0.001918229041621089
1585717444.0790699,37489,0.001486101420596242
1585717692.5077937,37764,0.002654870506376028
1585717711.0566523,37876,0.0018363145645707846
1585718064.2982638,38192,0.002743703778833151
1585718073.7280688,38247,0.002166698221117258
1585718076.2307386,38262,0.0017113161738961935
1585718197.1952763,38365,0.002071984810754657
1585718210.2209578,38439,0.001737787271849811
1585718213.270648,38455,0.0020187210757285357
1585718215.17623,38466,0.002236901316791773
1585718336.184322,38580,0.0018171038245782256
1585718346.5381148,38641,0.0021820671390742064
1585718346.751286,38642,0.0019190417369827628
1585718457.712896,38700,0.0016894694417715073
1585718461.393483,38720,0.002227277960628271
1585718582.784578,38840,0.0033385194838047028
1585718706.681432,38981,0.0025112514849752188
1585718710.626269,39005,0.0020269127562642097
1585718833.1623974,39141,0.0022934824228286743
1585718848.963875,39237,0.00171639712061733
1585718957.5230758,39296,0.0017559332773089409
1585718959.22755,39307,0.0015818236861377954
1585719206.9981601,39591,0.0029524690471589565
1585719224.5705862,39702,0.001876835711300373
1585719228.7582784,39730,0.002180617768317461
1585719337.5573397,39781,0.0028851008974015713
1585719355.562654,39878,0.0014122737338766456
1585719459.6848025,39909,0.002378263743594289
1585719460.7095108,39914,0.0020511539187282324
1585719463.340798,39931,0.0017594376113265753
1585719479.6444159,40020,0.0022922158241271973
1585719724.8331468,40296,0.0018515996634960175
1585719856.7551208,40488,0.0020795161835849285
1585719859.0313997,40500,0.003010023385286331
1585719985.449544,40647,0.00230397074483335
1585720085.8412013,40657,0.0022080615162849426
1585720087.1823275,40663,0.0029920688830316067
1585720087.9875844,40667,0.002669278532266617
1585720092.8733594,40698,0.002224295400083065
1585720093.1811461,40700,0.0017476126085966825
1585720095.3391047,40714,0.002362445229664445
1585720096.2688234,40720,0.002351385308429599
1585720109.1738064,40793,0.0023221392184495926
1585720351.4166334,41040,0.001738205784931779
1585720465.2334151,41128,0.0024300995282828808
1585720469.2296646,41154,0.0020465010311454535
1585720484.3283029,41244,0.0022618258371949196
1585720489.163363,41271,0.006982174701988697
1585720598.7503803,41341,0.0018096155254170299
1585720610.2818341,41409,0.001601917902007699
1585720724.766047,41491,0.0016886716475710273
1585720732.9490466,41539,0.002059551887214184
1585720735.4307544,41555,0.002197118941694498
1585720973.079919,41780,0.0016973195597529411
1585720988.3841403,41871,0.002095120958983898
1585721110.1476765,42006,0.0021339557133615017
1585721111.9167757,42013,0.0024659286718815565
1585721232.7586787,42134,0.002056727185845375
1585721237.067512,42158,0.0028913707938045263
1585721240.7390625,42182,0.0015888906782492995
1585721350.173943,42244,0.002010067692026496
1585721365.903268,42339,0.0022354996763169765
1585721486.1884565,42450,0.0021884338930249214
1585721489.8497894,42468,0.0018540611490607262
1585721724.2276063,42678,0.0036385897547006607
1585721742.6382496,42776,0.0017564607551321387
1585721871.800645,42964,0.0019374145194888115
1585721974.6174488,42981,0.0015602558851242065
1585721981.4437752,43020,0.0017956686206161976
1585722224.3620453,43278,0.0016785943880677223
1585722357.7945743,43474,0.0021676160395145416
1585722365.3858612,43518,0.0017645852640271187
1585722371.8479016,43553,0.001370707293972373
1585722481.225483,43607,0.004307356663048267
1585722487.021924,43639,0.0026204099413007498
1585722498.926344,43711,0.0019603902474045753
1585722602.9214585,43738,0.0024910899810492992
1585722603.545567,43742,0.00255404831841588
1585722610.9467497,43783,0.0020214917603880167
1585722614.3132606,43805,0.0034451044630259275
1585722742.4064803,43976,0.0015040760627016425
1585722743.0346525,43980,0.0017934860661625862
1585722745.0215647,43993,0.001886084908619523
1585722858.2479708,44073,0.0012999065220355988
1585722858.8527753,44077,0.0020270112436264753
1585722864.5345328,44113,0.002190464176237583
1585722979.0117157,44200,0.002333953743800521
1585722980.5620174,44207,0.001996662002056837
1585722987.7307968,44251,0.0011111488565802574
1585722996.506709,44304,0.0012991507537662983
1585723242.01863,44585,0.001620149239897728
1585723252.3105085,44645,0.0017234981060028076
1585723365.3971813,44729,0.0018213782459497452
1585723378.059878,44802,0.001769915921613574
1585723478.9488213,44816,0.003181175095960498
1585723504.6387405,44964,0.0015656973700970411
1585723629.475438,45104,0.0020289774984121323
1585723863.2960525,45310,0.00160924659576267
1585723864.7055411,45319,0.001612180727533996
1585723874.6455264,45372,0.0024069766514003277
1585723996.8360894,45507,0.0019073688890784979
1585724003.4366891,45543,0.0017651458038017154
1585724122.724263,45658,0.0017146215541288257
1585724252.466868,45839,0.0021287451963871717
1585724257.9322834,45874,0.0019501170609146357
1585724383.4411914,46033,0.0019932533614337444
1585724492.3885796,46090,0.002762442920356989
1585724497.9256804,46124,0.0013503518421202898
1585724505.5169456,46169,0.0016078120097517967
1585724611.2267375,46205,0.0038221171125769615
1585724630.5042894,46318,0.0019529586425051093
1585724633.2475495,46334,0.0015432934742420912
1585724746.729163,46413,0.0015538770239800215
1585724761.204693,46499,0.001894055400043726
1585724993.6820583,46696,0.0015430997591465712
1585725378.546131,47198,0.0043853167444467545
